arrival_date_month,hotel,children
August,City Hotel,1499.0
August,Resort Hotel,1281.0
July,City Hotel,1193.0
July,Resort Hotel,1129.0
April,City Hotel,787.0
June,City Hotel,569.0
February,City Hotel,499.0
December,City Hotel,498.0
May,City Hotel,489.0
June,Resort Hotel,488.0
March,City Hotel,444.0
October,City Hotel,434.0
May,Resort Hotel,356.0
April,Resort Hotel,354.0
September,City Hotel,351.0
January,City Hotel,313.0
February,Resort Hotel,291.0
October,Resort Hotel,269.0
March,Resort Hotel,256.0
September,Resort Hotel,247.0
December,Resort Hotel,238.0
November,City Hotel,172.0
January,Resort Hotel,139.0
November,Resort Hotel,107.0
